start,event,end,fclass,rads,is_analyzable,s_time,e_time
2022-12-31 23:47:00,2022-12-31 23:55:00,2023-01-01 00:03:00,C1.6,-,0,2022-12-31 23:00:00,2023-01-01 01:00:00
2023-01-01 14:16:00,2023-01-01 14:30:00,2023-01-01 14:35:00,C1.7,-,0,2023-01-01 13:00:00,2023-01-01 16:00:00
2023-01-01 17:43:00,2023-01-01 17:52:00,2023-01-01 18:09:00,C1.8,-,0,2023-01-01 17:00:00,2023-01-01 19:00:00
2023-01-01 19:31:00,2023-01-01 19:35:00,2023-01-01 19:43:00,C1.1,-,0,2023-01-01 19:00:00,2023-01-01 21:00:00
2023-01-01 22:09:00,2023-01-01 22:16:00,2023-01-01 22:26:00,C1.1,-,0,2023-01-01 21:00:00,2023-01-01 23:00:00
2023-01-01 22:52:00,2023-01-01 23:16:00,2023-01-01 23:26:00,C3.1,-,0,2023-01-01 22:00:00,2023-01-02 00:00:00
2023-01-02 16:02:00,2023-01-02 16:08:00,2023-01-02 16:14:00,C1.1,-,0,2023-01-02 15:00:00,2023-01-02 17:00:00
2023-01-02 21:37:00,2023-01-02 21:43:00,2023-01-02 21:47:00,C1.8,-,0,2023-01-02 21:00:00,2023-01-02 23:00:00
2023-01-02 22:10:00,2023-01-02 22:16:00,2023-01-02 22:20:00,C2.0,-,0,2023-01-02 21:00:00,2023-01-02 23:00:00
2023-01-02 22:57:00,2023-01-02 23:11:00,2023-01-02 23:32:00,C3.2,-,0,2023-01-02 22:00:00,2023-01-03 01:00:00
2023-01-03 23:43:00,2023-01-18 17:54:00,2023-01-04 00:56:00,C2.3,-,0,2023-01-03 23:00:00,2023-01-04 02:00:00
2023-01-03 23:43:00,2023-01-18 17:54:00,2023-01-04 00:56:00,C2.3,-,0,2023-01-03 23:00:00,2023-01-04 02:00:00
2023-01-04 16:26:00,2023-01-04 16:34:00,2023-01-04 16:39:00,C2.6,-,0,2023-01-04 15:00:00,2023-01-04 18:00:00
2023-01-04 18:14:00,2023-01-04 18:29:00,2023-01-04 18:34:00,C5.2,-,0,2023-01-04 17:00:00,2023-01-04 20:00:00
2023-01-04 18:34:00,2023-01-04 18:45:00,2023-01-04 18:59:00,C8.4,-,0,2023-01-04 18:00:00,2023-01-04 20:00:00
2023-01-05 19:06:00,2023-01-05 19:15:00,2023-01-05 19:25:00,C1.7,-,0,2023-01-05 18:00:00,2023-01-05 20:00:00
2023-01-05 22:11:00,2023-01-05 22:22:00,2023-01-05 22:32:00,C2.1,-,0,2023-01-05 21:00:00,2023-01-06 00:00:00
2023-01-05 22:47:00,2023-01-05 22:57:00,2023-01-05 23:06:00,C2.4,-,0,2023-01-05 22:00:00,2023-01-06 00:00:00
2023-01-06 14:50:00,2023-01-06 14:55:00,2023-01-06 15:01:00,C1.7,-,0,2023-01-06 14:00:00,2023-01-06 16:00:00
2023-01-06 15:51:00,2023-01-06 15:59:00,2023-01-06 16:12:00,C1.8,-,0,2023-01-06 15:00:00,2023-01-06 17:00:00
2023-01-06 18:43:00,2023-01-06 18:53:00,2023-01-06 18:58:00,C6.2,-,0,2023-01-06 18:00:00,2023-01-06 20:00:00
