start,event,end,fclass,rads,is_analyzable,s_time,e_time
2021-08-13 20:59:00,2021-08-13 21:08:00,2021-08-13 21:12:00,C1.4,-,0,2021-08-13 20:00:00,2021-08-13 22:00:00
2021-08-20 15:45:00,2021-08-20 15:48:00,2021-08-20 15:50:00,C1.7,-,0,2021-08-20 15:00:00,2021-08-20 17:00:00
2021-08-20 15:50:00,2021-08-20 15:57:00,2021-08-20 16:01:00,C3.0,-,0,2021-08-20 15:00:00,2021-08-20 17:00:00
2021-08-20 16:41:00,2021-08-20 16:49:00,2021-08-20 16:59:00,C2.3,-,0,2021-08-20 16:00:00,2021-08-20 18:00:00
2021-08-20 21:30:00,2021-08-20 22:00:00,2021-08-20 22:14:00,C1.4,-,0,2021-08-20 21:00:00,2021-08-20 23:00:00
2021-08-24 14:18:00,2021-08-24 14:49:00,2021-08-24 15:09:00,C1.5,-,0,2021-08-24 13:00:00,2021-08-24 16:00:00
2021-08-24 14:38:00,2021-08-24 14:49:00,2021-08-24 15:01:00,C1.5,-,0,2021-08-24 14:00:00,2021-08-24 16:00:00
2021-08-26 17:48:00,2021-08-26 18:18:00,2021-08-26 18:42:00,C3.0,-,0,2021-08-26 17:00:00,2021-08-26 20:00:00
2021-08-26 18:57:00,2021-08-26 19:01:00,2021-08-26 19:05:00,C1.3,-,0,2021-08-26 18:00:00,2021-08-26 20:00:00
2021-08-26 23:17:00,2021-08-26 23:22:00,2021-08-26 23:26:00,C3.9,-,0,2021-08-26 22:00:00,2021-08-27 00:00:00
2021-08-27 15:04:00,2021-08-27 15:15:00,2021-08-27 15:24:00,C1.1,-,0,2021-08-27 14:00:00,2021-08-27 16:00:00
2021-08-27 20:14:00,2021-08-27 20:21:00,2021-08-27 20:25:00,C1.7,-,0,2021-08-27 19:00:00,2021-08-27 21:00:00
2021-08-27 20:32:00,2021-08-27 21:09:00,2021-08-27 21:43:00,C7.3,-,0,2021-08-27 20:00:00,2021-08-27 23:00:00
2021-08-27 23:55:00,2021-09-08 15:26:07,2021-08-28 00:05:00,C1.2,-,0,2021-08-27 23:00:00,2021-08-28 01:00:00
2021-08-27 23:55:00,2021-09-08 15:26:07,2021-08-28 00:05:00,C1.2,-,0,2021-08-27 23:00:00,2021-08-28 01:00:00
2021-08-28 16:26:00,2021-08-28 16:43:00,2021-08-28 16:55:00,C1.4,-,0,2021-08-28 15:00:00,2021-08-28 18:00:00
2021-08-29 17:01:00,2021-08-29 17:30:00,2021-08-29 17:51:00,C2.9,-,0,2021-08-29 16:00:00,2021-08-29 19:00:00
2021-08-30 16:20:00,2021-08-30 16:24:00,2021-08-30 16:28:00,C2.0,-,0,2021-08-30 15:00:00,2021-08-30 17:00:00
2021-08-30 19:29:00,2021-08-30 19:40:00,2021-08-30 19:45:00,C1.7,-,0,2021-08-30 18:00:00,2021-08-30 21:00:00
2021-08-30 21:26:00,2021-08-30 21:34:00,2021-08-30 21:38:00,C3.0,-,0,2021-08-30 20:00:00,2021-08-30 23:00:00
2021-09-02 20:31:00,2021-09-02 20:55:00,2021-09-02 21:20:00,C1.2,-,0,2021-09-02 20:00:00,2021-09-02 22:00:00
2021-09-08 17:11:00,2021-09-08 17:30:00,2021-09-08 17:49:00,C8.3,-,0,2021-09-08 16:00:00,2021-09-08 19:00:00
2021-09-10 20:48:00,2021-09-10 21:34:00,2021-09-10 22:13:00,C1.1,-,0,2021-09-10 20:00:00,2021-09-10 23:00:00
2021-09-21 18:18:00,2021-09-21 18:28:00,2021-09-21 18:35:00,C1.1,-,0,2021-09-21 17:00:00,2021-09-21 20:00:00
2021-09-22 20:04:00,2021-09-22 20:14:00,2021-09-22 20:20:00,C1.1,-,0,2021-09-22 19:00:00,2021-09-22 21:00:00
2021-09-23 15:23:00,2021-09-23 15:28:00,2021-09-23 15:39:00,M1.8,-,0,2021-09-23 14:00:00,2021-09-23 17:00:00
2021-09-25 19:11:00,2021-09-25 19:17:00,2021-09-25 19:21:00,C1.7,-,0,2021-09-25 18:00:00,2021-09-25 20:00:00
2021-09-29 21:46:00,2021-09-29 21:56:00,2021-09-29 22:02:00,C2.8,-,0,2021-09-29 21:00:00,2021-09-29 23:00:00
2021-09-29 22:10:00,2021-09-29 22:13:00,2021-09-29 22:17:00,C1.4,-,0,2021-09-29 21:00:00,2021-09-29 23:00:00
2021-09-29 22:34:00,2021-09-29 22:45:00,2021-09-29 22:50:00,C1.6,-,0,2021-09-29 22:00:00,2021-09-30 00:00:00
