start,event,end,fclass,rads,is_analyzable,s_time,e_time
2022-01-01 18:59:00,2022-01-01 19:09:00,2022-01-01 19:15:00,C2.3,-,0,2022-01-01 18:00:00,2022-01-01 20:00:00
2022-01-06 22:39:00,2022-01-06 22:46:00,2022-01-06 22:54:00,C1.1,-,0,2022-01-06 22:00:00,2022-01-07 00:00:00
2022-01-07 22:01:00,2022-01-07 22:10:00,2022-01-07 22:14:00,C2.7,-,0,2022-01-07 21:00:00,2022-01-07 23:00:00
2022-01-13 20:24:00,2022-01-13 20:33:00,2022-01-13 20:38:00,C1.3,-,0,2022-01-13 19:00:00,2022-01-13 22:00:00
2022-01-14 14:16:00,2022-01-14 14:23:00,2022-01-14 14:28:00,C3.5,-,0,2022-01-14 13:00:00,2022-01-14 15:00:00
2022-01-14 19:25:00,2022-01-14 19:39:00,2022-01-14 19:46:00,C2.5,-,0,2022-01-14 18:00:00,2022-01-14 21:00:00
2022-01-15 18:31:00,2022-01-15 18:37:00,2022-01-15 18:41:00,C1.3,-,0,2022-01-15 18:00:00,2022-01-15 20:00:00
2022-01-15 22:52:00,2022-01-15 23:04:00,2022-01-15 23:10:00,C1.1,-,0,2022-01-15 22:00:00,2022-01-16 00:00:00
2022-01-15 23:22:00,2022-01-15 23:32:00,2022-01-15 23:42:00,C1.6,-,0,2022-01-15 22:00:00,2022-01-16 01:00:00
2022-01-16 17:42:00,2022-01-16 17:48:00,2022-01-16 17:58:00,C1.1,-,0,2022-01-16 17:00:00,2022-01-16 19:00:00
2022-01-16 19:21:00,2022-01-16 20:21:00,2022-01-16 21:32:00,C2.6,-,0,2022-01-16 18:00:00,2022-01-16 23:00:00
2022-01-17 13:48:00,2022-01-17 14:15:00,2022-01-17 14:46:00,C2.8,-,0,2022-01-17 13:00:00,2022-01-17 16:00:00
2022-01-17 14:46:00,2022-01-17 15:06:00,2022-01-17 15:09:00,C2.6,-,0,2022-01-17 14:00:00,2022-01-17 16:00:00
2022-01-17 15:09:00,2022-01-17 15:16:00,2022-01-17 15:21:00,C2.7,-,0,2022-01-17 14:00:00,2022-01-17 16:00:00
2022-01-18 17:01:00,2022-01-18 17:44:00,2022-01-18 18:17:00,M1.5,-,0,2022-01-18 16:00:00,2022-01-18 19:00:00
2022-01-18 19:48:00,2022-01-18 19:51:00,2022-01-18 19:55:00,C5.7,-,0,2022-01-18 19:00:00,2022-01-18 21:00:00
2022-01-25 22:38:00,2022-01-25 22:44:00,2022-01-25 22:48:00,C2.1,-,0,2022-01-25 22:00:00,2022-01-26 00:00:00
2022-01-25 23:38:00,2022-01-25 23:49:00,2022-01-25 23:54:00,C9.9,-,0,2022-01-25 23:00:00,2022-01-26 01:00:00
2022-01-28 17:12:00,2022-01-28 17:21:00,2022-01-28 17:26:00,C1.1,-,0,2022-01-28 16:00:00,2022-01-28 18:00:00
2022-01-28 17:29:00,2022-01-28 17:35:00,2022-01-28 17:41:00,C3.1,-,0,2022-01-28 16:00:00,2022-01-28 19:00:00
2022-01-28 19:22:00,2022-01-28 19:34:00,2022-01-28 19:40:00,C2.7,-,0,2022-01-28 18:00:00,2022-01-28 21:00:00
2022-01-29 14:07:00,2022-01-29 14:17:00,2022-01-29 14:24:00,C2.0,-,0,2022-01-29 13:00:00,2022-01-29 15:00:00
2022-01-29 15:16:00,2022-01-29 15:24:00,2022-01-29 15:28:00,C1.1,-,0,2022-01-29 14:00:00,2022-01-29 16:00:00
2022-01-29 15:28:00,2022-01-29 15:35:00,2022-01-29 15:41:00,C1.3,-,0,2022-01-29 14:00:00,2022-01-29 17:00:00
2022-01-29 16:30:00,2022-01-29 16:37:00,2022-01-29 16:43:00,C1.5,-,0,2022-01-29 16:00:00,2022-01-29 18:00:00
2022-01-29 16:47:00,2022-01-29 16:55:00,2022-01-29 17:04:00,C7.3,-,0,2022-01-29 16:00:00,2022-01-29 18:00:00
2022-01-29 17:29:00,2022-01-29 17:34:00,2022-01-29 17:39:00,C2.1,-,0,2022-01-29 16:00:00,2022-01-29 19:00:00
2022-01-29 18:15:00,2022-01-29 18:24:00,2022-01-29 18:36:00,C1.2,-,0,2022-01-29 17:00:00,2022-01-29 20:00:00
2022-01-29 19:54:00,2022-01-29 20:07:00,2022-01-29 20:26:00,C3.3,-,0,2022-01-29 19:00:00,2022-01-29 21:00:00
2022-01-29 21:33:00,2022-01-29 21:37:00,2022-01-29 21:42:00,C1.6,-,0,2022-01-29 21:00:00,2022-01-29 23:00:00
2022-01-29 22:32:00,2022-01-29 23:32:00,2022-01-30 00:32:00,M1.1,-,0,2022-01-29 22:00:00,2022-01-30 02:00:00
2022-01-29 22:45:00,2022-01-29 23:32:00,2022-01-30 00:24:00,M1.1,-,0,2022-01-29 22:00:00,2022-01-30 01:00:00
